model_type,bldgname,y_column,imputation_method,feature_method,n_feature,updated_n_feature,time_step,datelevel,rmse,mae,mape,model_file,model_data_path,building_file
xgboost,Physical Science,present_elec_kwh,prophet,rfecv,6,1,24,hour,27.19214185520575,21.16302384806908,0.07441521832249005,./models/xgboost/Physical_Science_Data_Extended_present_elec_kwh_prophet_rfecv_6_1_24_hour,./models/tmp/Physical_Science_Data_Extended_present_elec_kwh_prophet,Physical_Science_Data_Extended.csv
xgboost,Student Union,present_elec_kwh,linear_interpolation,lassocv,5,5,24,hour,29.277274616010263,18.46474650381252,0.17981376908816918,./models/xgboost/Student_Union_Data_Extended_present_elec_kwh_linear_interpolation_lassocv_5_5_24_hour,./models/tmp/Student_Union_Data_Extended_present_elec_kwh_linear_interpolation,Student_Union_Data_Extended.csv
solos,Energy Innovation Center,present_elec_kwh,lstm,rfecv,5,1,24,hour,5.937143457641776,4.428539866619327,0.04133808201194482,./models/solos/Energy_Innovation_Center_Data_Extended_present_elec_kwh_lstm_rfecv_5_1_24_hour,./models/tmp/Energy_Innovation_Center_Data_Extended_present_elec_kwh_lstm,Energy_Innovation_Center_Data_Extended.csv
solos,Engineering,present_elec_kwh,prophet,rfecv,1,1,24,hour,29.933140322630877,22.640121332167556,0.09210022336432647,./models/solos/Engineering_Data_Extended_present_elec_kwh_prophet_rfecv_1_1_24_hour,./models/tmp/Engineering_Data_Extended_present_elec_kwh_prophet,Engineering_Data_Extended.csv
solos,Education Annex,present_elec_kwh,linear_regression,lassocv,2,2,24,hour,6.394749747899532,5.011583678112611,0.2819973486352545,./models/solos/Education_Annex_Data_Extended_present_elec_kwh_linear_regression_lassocv_2_2_24_hour,./models/tmp/Education_Annex_Data_Extended_present_elec_kwh_linear_regression,Education_Annex_Data_Extended.csv
xgboost,Half Acre Gym,present_elec_kwh,prophet,rfecv,1,1,24,hour,27.088107468277183,18.355707720567512,0.2850386575540576,./models/xgboost/Half_Acre_Gym_Data_Extended_present_elec_kwh_prophet_rfecv_1_1_24_hour,./models/tmp/Half_Acre_Gym_Data_Extended_present_elec_kwh_prophet,Half_Acre_Gym_Data_Extended.csv
ensembles,Information Technology,present_elec_kwh,linear_interpolation,lassocv,2,2,24,hour,42.45770096180672,32.600145623219966,0.08216316050630644,./models/ensembles/Information_Technology_Data_Extended_present_elec_kwh_linear_interpolation_lassocv_2_2_24_hour,./models/tmp/Information_Technology_Data_Extended_present_elec_kwh_linear_interpolation,Information_Technology_Data_Extended.csv
xgboost,Centennial Complex,present_elec_kwh,lstm,lassocv,2,2,24,hour,0.011995053939564891,0.006932093456990272,0.05799431126675314,./models/xgboost/Centennial_Complex_Data_Extended_present_elec_kwh_lstm_lassocv_2_2_24_hour,./models/tmp/Centennial_Complex_Data_Extended_present_elec_kwh_lstm,Centennial_Complex_Data_Extended.csv
solos,Centennial Complex,present_chll_tonhr,prophet,rfecv,2,2,24,hour,6.878648307718948,4.9183433985104035,0.15147308440990295,./models/solos/Centennial_Complex_Data_Extended_present_chll_tonhr_prophet_rfecv_2_2_24_hour,./models/tmp/Centennial_Complex_Data_Extended_present_chll_tonhr_prophet,Centennial_Complex_Data_Extended.csv
solos,Physical Science,present_chll_tonhr,linear_interpolation,lassocv,1,1,24,hour,2.970958384847775,1.7241232534615394,0.25456348405588175,./models/solos/Physical_Science_Data_Extended_present_chll_tonhr_linear_interpolation_lassocv_1_1_24_hour,./models/tmp/Physical_Science_Data_Extended_present_chll_tonhr_linear_interpolation,Physical_Science_Data_Extended.csv
solos,Service Building,present_elec_kwh,linear_interpolation,rfecv,1,1,24,hour,9.638864457097874,6.268080163712295,0.30289369326719184,./models/solos/Service_Building_Data_Extended_present_elec_kwh_linear_interpolation_rfecv_1_1_24_hour,./models/tmp/Service_Building_Data_Extended_present_elec_kwh_linear_interpolation,Service_Building_Data_Extended.csv
solos,Visual Arts,present_elec_kwh,linear_interpolation,lassocv,5,5,24,hour,9.79976080513042,7.532174437426453,0.10374112728662696,./models/solos/Visual_Arts_Data_Extended_present_elec_kwh_linear_interpolation_lassocv_5_5_24_hour,./models/tmp/Visual_Arts_Data_Extended_present_elec_kwh_linear_interpolation,Visual_Arts_Data_Extended.csv
solos,High Bay,present_elec_kwh,linear_regression,lassocv,6,6,24,hour,18.801103033186674,15.192816941143654,0.06879889036792045,./models/solos/High_Bay_Data_Extended_present_elec_kwh_linear_regression_lassocv_6_6_24_hour,./models/tmp/High_Bay_Data_Extended_present_elec_kwh_linear_regression,High_Bay_Data_Extended.csv
ensembles,Arts and Sciences,present_elec_kwh,lstm,rfecv,1,1,24,hour,5.4332724054038195,4.237717492449587,0.20618379707711712,./models/ensembles/Arts_and_Sciences_Data_Extended_present_elec_kwh_lstm_rfecv_1_1_24_hour,./models/tmp/Arts_and_Sciences_Data_Extended_present_elec_kwh_lstm,Arts_and_Sciences_Data_Extended.csv
solos,Stadium,present_elec_kwh,lstm,lassocv,3,3,24,hour,27.49747546936723,18.26144964060718,0.13964418893165026,./models/solos/Stadium_Data_Extended_present_elec_kwh_lstm_lassocv_3_3_24_hour,./models/tmp/Stadium_Data_Extended_present_elec_kwh_lstm,Stadium_Data_Extended.csv
solos,Coe Library,present_elec_kwh,linear_regression,lassocv,6,6,24,hour,26.1737983366841,19.99378201898748,0.06416706092133376,./models/solos/Coe_Library_Data_Extended_present_elec_kwh_linear_regression_lassocv_6_6_24_hour,./models/tmp/Coe_Library_Data_Extended_present_elec_kwh_linear_regression,Coe_Library_Data_Extended.csv
xgboost,Enzi-STEM,present_elec_kwh,linear_regression,lassocv,3,3,24,hour,16.616063106276854,12.80099937158084,0.07726269217013047,./models/xgboost/Enzi-STEM_Data_Extended_present_elec_kwh_linear_regression_lassocv_3_3_24_hour,./models/tmp/Enzi-STEM_Data_Extended_present_elec_kwh_linear_regression,Enzi-STEM_Data_Extended.csv
solos,Old Main,present_elec_kwh,lstm,lassocv,3,3,24,hour,6.050167761594314,4.785907637879836,0.3253041301676795,./models/solos/Old_Main_Data_Extended_present_elec_kwh_lstm_lassocv_3_3_24_hour,./models/tmp/Old_Main_Data_Extended_present_elec_kwh_lstm,Old_Main_Data_Extended.csv
solos,WRI and Bureau of Mines,present_elec_kwh,prophet,rfecv,1,1,24,hour,6.494826020281948,5.184269394372725,0.09898135836650074,./models/solos/WRI_and_Bureau_of_Mines_Data_Extended_present_elec_kwh_prophet_rfecv_1_1_24_hour,./models/tmp/WRI_and_Bureau_of_Mines_Data_Extended_present_elec_kwh_prophet,WRI_and_Bureau_of_Mines_Data_Extended.csv
xgboost,College of Law,present_elec_kwh,linear_regression,rfecv,4,4,24,hour,9.993543154628462,7.520253207859752,0.14564611731409452,./models/xgboost/College_of_Law_Data_Extended_present_elec_kwh_linear_regression_rfecv_4_4_24_hour,./models/tmp/College_of_Law_Data_Extended_present_elec_kwh_linear_regression,College_of_Law_Data_Extended.csv
xgboost,WTBC,present_elec_kwh,prophet,rfecv,1,1,24,hour,5.84157103549094,4.439035719873201,0.08625146588955016,./models/xgboost/WTBC_Data_Extended_present_elec_kwh_prophet_rfecv_1_1_24_hour,./models/tmp/WTBC_Data_Extended_present_elec_kwh_prophet,WTBC_Data_Extended.csv
xgboost,College of Education,present_elec_kwh,linear_regression,lassocv,7,7,24,hour,13.27753456884761,9.240316644754005,0.33276601386381555,./models/xgboost/College_of_Education_Data_Extended_present_elec_kwh_linear_regression_lassocv_7_7_24_hour,./models/tmp/College_of_Education_Data_Extended_present_elec_kwh_linear_regression,College_of_Education_Data_Extended.csv
solos,General Storage,present_elec_kwh,linear_interpolation,rfecv,1,1,24,hour,5.165425511883823,3.486308543254684,0.25211926579071053,./models/solos/General_Storage_Data_Extended_present_elec_kwh_linear_interpolation_rfecv_1_1_24_hour,./models/tmp/General_Storage_Data_Extended_present_elec_kwh_linear_interpolation,General_Storage_Data_Extended.csv
solos,Geology,present_elec_kwh,lstm,lassocv,2,2,24,hour,5.380216942977329,4.366186798243892,0.3914569073981868,./models/solos/Geology_Data_Extended_present_elec_kwh_lstm_lassocv_2_2_24_hour,./models/tmp/Geology_Data_Extended_present_elec_kwh_lstm,Geology_Data_Extended.csv
xgboost,Biological Sciences,present_elec_kwh,prophet,rfecv,3,3,24,hour,21.11152210088552,15.756772111459401,0.08255595212681577,./models/xgboost/Biological_Sciences_Data_Extended_present_elec_kwh_prophet_rfecv_3_3_24_hour,./models/tmp/Biological_Sciences_Data_Extended_present_elec_kwh_prophet,Biological_Sciences_Data_Extended.csv
solos,Energy Innovation Center,present_chll_tonhr,prophet,lassocv,1,0,24,hour,0.0960943433937532,0.07106103899787809,0.17008857898428803,./models/solos/Energy_Innovation_Center_Data_Extended_present_chll_tonhr_prophet_lassocv_1_0_24_hour,./models/tmp/Energy_Innovation_Center_Data_Extended_present_chll_tonhr_prophet,Energy_Innovation_Center_Data_Extended.csv
